Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Target,Previous qualification (grade),Admission grade,Unemployment rate,Inflation rate,GDP,Total Curricular units (credited),Total Curricular units (enrolled),Total Curricular units (evaluations),Total Curricular units (approved),Total Curricular units (grade),Total Curricular units (without evaluations)
0,7,5,1,1,0,0,12,9,5,9,1,0,0,1,1,0,20,0,0,-0.8048412577874374,0.022228767979372222,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-0.29665375363418706,-2.713085535976082,-2.134927655831989,-1.533976558544737,-2.165947385323075,-0.22401128909004567
0,5,1,10,1,0,0,0,2,3,3,1,0,0,0,1,0,19,0,2,2.0768193183416446,1.0719261394817379,0.8762220667652447,-1.1052215545807416,0.347199421388147,-0.29665375363418706,-0.10908848409044712,-0.5691901699186535,0.4794672316946684,0.7055788448906014,-0.22401128909004567
0,0,5,4,1,0,0,21,26,9,9,1,0,0,0,1,0,19,0,0,-0.8048412577874374,-0.15041882601772735,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-0.29665375363418706,-0.10908848409044712,-2.134927655831989,-1.533976558544737,-2.165947385323075,-0.22401128909004567
0,7,2,14,1,0,0,22,26,5,3,1,0,0,1,0,0,20,0,2,-0.8048412577874374,-0.5095258215316947,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,-0.29665375363418706,-0.10908848409044712,0.21367857303801432,0.311680249174718,0.5146280583494676,-0.22401128909004567
1,11,1,2,0,0,0,21,27,9,9,0,0,0,1,0,0,45,0,2,-2.473171065020064,1.002867101882898,0.8762220667652447,-1.1052215545807416,0.347199421388147,-0.29665375363418706,-0.10908848409044712,-0.17775579844031955,0.311680249174718,0.46273925765894214,-0.22401128909004567
1,11,1,16,0,11,0,21,26,9,7,0,0,1,1,1,0,50,0,2,0.03690696313447821,-0.8410092020061256,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,-0.29665375363418706,-0.543087992738053,1.387981687473016,0.14389326665476757,0.25829738293827215,3.6654154885173407
0,0,1,11,1,0,0,12,27,7,10,1,0,0,1,0,1,18,0,2,0.7118222033331321,0.09819370933809662,1.476924272807967,1.1370048489905784,-1.7896667428492534,-0.29665375363418706,0.5419107788809616,0.08320044921190302,0.9828281792545197,0.7024655168491698,-0.22401128909004567
0,8,4,10,1,0,0,21,26,9,9,1,0,0,0,1,0,22,0,0,-1.0323407769555228,-0.9584095659241536,1.476924272807967,1.1370048489905784,-1.7896667428492534,-0.29665375363418706,-0.543087992738053,-0.830146417570876,-1.533976558544737,-2.165947385323075,-0.22401128909004567
0,0,3,9,1,0,14,0,0,9,9,0,0,0,1,0,1,21,1,2,0.33265633805298966,0.16034684317705286,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,-0.29665375363418706,-0.10908848409044712,-0.17775579844031955,0.4794672316946684,0.7419010053739693,-0.22401128909004567
0,0,1,9,1,0,0,0,13,4,7,1,0,1,0,0,0,18,0,0,0.40848951110901816,-0.27472509369563886,-1.0009723271182625,0.12438647318417584,1.545606837207885,-0.29665375363418706,-0.10908848409044712,0.8660691921685708,-0.35946768090508374,0.4181148890650903,-0.22401128909004567
0,0,1,13,1,0,0,22,13,5,7,1,0,0,1,0,0,18,0,2,0.48432268416504665,0.25012359205554346,0.8762220667652447,-1.1052215545807416,0.347199421388147,-0.29665375363418706,-0.10908848409044712,-0.43871204609254216,0.311680249174718,0.5872723793162035,-0.22401128909004567
0,0,1,11,1,0,0,12,27,9,9,1,0,0,1,0,1,18,0,2,0.25682316499696123,-0.5302435328113464,0.4256954122332026,1.7879738048661231,-0.7498720732409514,-0.29665375363418706,0.7589105332047645,-0.04727767461420827,0.8150411967345693,0.5758568431642879,-0.22401128909004567
0,0,2,15,1,0,0,12,26,4,9,1,0,0,1,0,0,19,0,0,0.02932364582887579,0.22249997701600713,0.4256954122332026,1.7879738048661231,-0.7498720732409514,-0.29665375363418706,-0.10908848409044712,-1.352058912875321,-1.533976558544737,-2.165947385323075,-0.22401128909004567
0,16,1,10,1,15,0,0,0,4,7,1,0,0,1,0,1,21,0,2,-1.714839334459779,-1.0481863148026451,-1.0009723271182625,0.12438647318417584,1.545606837207885,-0.29665375363418706,-0.10908848409044712,-0.17775579844031955,0.311680249174718,0.07253547646619131,-0.22401128909004567
0,0,1,5,1,0,0,22,26,5,5,1,0,0,1,0,1,18,0,2,1.2426544147253313,0.6990073364480024,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-0.29665375363418706,-0.543087992738053,-0.5691901699186535,-0.02389371586518287,0.45443704954845826,-0.22401128909004567
0,0,1,14,1,0,0,12,26,9,3,1,0,0,1,0,0,20,0,0,-0.425675392507295,-0.4335608801729703,1.476924272807967,1.1370048489905784,-1.7896667428492534,-0.29665375363418706,-0.10908848409044712,-0.43871204609254216,-0.6950416459449846,-0.7960830470932041,-0.22401128909004567
0,8,1,9,1,0,0,12,27,5,8,1,0,0,1,0,0,18,0,1,0.33265633805298966,0.7197250477276551,-0.2876384574425296,0.12438647318417584,0.7657608350016585,-0.29665375363418706,-0.10908848409044712,0.996547315994682,-1.0306156109848854,0.22093744644109395,-0.22401128909004567
