,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target_encoded,Total Curricular units (grade),Total Curricular units (credited),Total Curricular units (enrolled),Total Curricular units (evaluations),Total Curricular units (approved),Total Curricular units (without evaluations)
0,0,7,5,1,1,0,0.0,0,12,9,5,9,0.0,1,0,0,1,1,0,-0.4305196917739134,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
1,0,5,1,10,1,0,0.0,0,0,2,3,3,0.0,1,0,0,0,1,0,-0.6159057152070485,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.548935918952066,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
2,0,0,5,4,1,0,0.0,0,21,26,9,9,0.0,1,0,0,0,1,0,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
3,0,7,2,14,1,0,0.0,0,22,26,5,3,0.0,1,0,0,1,0,0,-0.4305196917739134,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.4950951897635039,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.44497210209234944,-0.23490997359881433
4,1,11,1,2,0,0,0.0,0,21,27,9,9,0.0,0,0,0,1,0,0,2.548865562173896,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.47982569241428386,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
5,1,11,1,16,0,11,0.0,0,21,26,9,7,0.0,0,0,1,1,1,0,2.940930552367539,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.4167024017790953,-0.37101983423498863,-0.20082234344761415,0.8389888269142359,0.44497210209234944,5.80181115306651
6,0,0,1,11,1,0,0.0,0,12,27,7,10,0.0,1,0,0,1,0,1,-0.8108027818016886,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5480861168760466,-0.37101983423498863,0.4550819916450282,0.3268641370706001,0.8470299467730539,-0.23490997359881433
7,0,8,4,10,1,0,0.0,0,21,26,9,9,0.0,1,0,0,0,1,0,-0.08485788691433913,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-0.2439612847322383,-1.7697133631024018,-0.23490997359881433
8,0,0,3,9,1,0,0.0,14,0,0,9,9,0.0,0,0,0,1,0,1,-0.253759460374585,1,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5587850912673455,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
9,0,0,1,9,1,0,0.0,0,0,13,4,7,0.0,1,0,1,0,0,0,-0.8108027818016886,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,0.46646019445707193,-0.37101983423498863,0.09160737073300991,0.6603140485314349,-0.28324362764915506,-0.23490997359881433
10,0,0,1,13,1,0,0.0,0,22,13,5,7,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5160011201716813,-0.37101983423498863,0.09160737073300991,0.0355676612599826,0.44497210209234944,-0.23490997359881433
11,0,0,1,11,1,0,0.0,0,12,27,9,9,0.0,1,0,0,1,0,1,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.512751351330851,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
12,0,0,2,15,1,0,0.0,0,12,26,4,9,0.0,1,0,0,1,0,0,-0.6159057152070485,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-0.7678535043942705,-1.7697133631024018,-0.23490997359881433
13,0,16,1,10,1,15,0.0,0,0,0,4,7,0.0,1,0,0,1,0,1,-0.253759460374585,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.354752572182691,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.44497210209234944,-0.23490997359881433
14,0,0,1,5,1,0,0.0,0,22,26,5,5,0.0,1,0,0,1,0,1,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4773556941838268,-0.37101983423498863,-0.20082234344761415,-0.05033027649678355,0.44497210209234944,-0.23490997359881433
15,0,0,1,14,1,0,0.0,0,12,26,9,3,0.0,1,0,0,1,0,0,-0.4305196917739134,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,-0.02137384839637313,-0.37101983423498863,0.09160737073300991,0.0355676612599826,-1.7697133631024018,-0.23490997359881433
