,Target
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
17,0
18,0
22,0
23,0
24,0
26,0
28,0
31,0
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,1
46,0
47,0
48,0
49,0
50,0
53,0
54,1
55,0
56,1
57,1
58,0
60,0
61,0
65,1
67,0
68,1
71,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,1
84,0
85,0
86,0
87,0
90,1
91,0
92,1
93,1
94,0
96,0
97,0
99,1
100,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
110,0
112,0
113,0
114,1
118,0
119,0
120,1
121,0
123,0
124,0
125,1
126,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,0
139,0
140,0
141,0
143,0
144,0
145,0
146,1
147,1
148,0
149,0
151,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
167,0
168,0
169,1
171,0
172,0
173,0
174,1
176,0
177,1
178,1
179,1
180,0
182,1
183,1
184,1
185,1
187,0
188,1
189,0
190,0
192,1
193,1
194,0
195,1
196,0
197,1
198,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,1
214,0
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,0
251,1
252,0
254,0
255,1
256,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,1
277,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
287,0
288,0
289,0
290,0
291,0
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,0
320,1
321,0
322,0
323,0
325,0
326,0
327,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
342,0
343,0
345,0
347,0
348,0
350,1
351,0
353,0
354,1
355,0
356,0
357,1
359,1
360,0
361,1
363,0
365,0
366,0
368,0
369,1
370,0
372,0
373,0
374,1
376,1
377,0
380,1
383,0
384,0
385,0
386,0
387,0
389,0
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,1
404,0
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,0
426,0
428,1
429,0
430,0
431,0
432,0
433,1
434,0
435,0
437,0
438,1
439,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
450,0
451,0
452,0
453,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,0
465,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,0
480,0
481,0
482,1
484,0
485,0
486,1
487,1
488,0
489,0
490,0
491,0
492,0
495,1
496,1
497,0
498,0
499,0
501,0
503,1
504,0
507,0
508,1
509,1
511,1
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
