,Target_encoded,Application mode,Application order,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Debtor,Tuition fees up to date,Gender,Scholarship holder,Inflation rate,Total Curricular units (grade),Total Curricular units (approved),Total Curricular units (without evaluations)
0,1,7,5,1,0,12,9,5,9,0,1,1,0,0.5657081587484707,0.0,0.0,0.0
1,0,5,1,10,0,0,2,3,3,0,0,1,0,0.0,1.0,0.6906959960353908,0.0
2,1,0,5,4,0,21,26,9,9,0,0,1,0,0.5657081587484707,0.0,0.0,0.0
3,0,7,2,14,0,22,26,5,3,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
4,0,11,1,2,0,21,27,9,9,0,1,0,0,0.0,1.0,0.6906959960353908,0.0
5,0,11,1,16,11,21,26,9,7,1,1,1,0,0.16953387213106524,1.0,0.6457112531348923,0.744948051202489
6,0,0,1,11,0,12,27,7,10,0,1,0,1,0.8626475888460029,1.0,0.7629347951689582,0.0
7,1,8,4,10,0,21,26,9,9,0,0,1,0,0.8626475888460029,0.0,0.0,0.0
8,0,0,3,9,0,0,0,9,9,0,1,0,1,0.16953387213106524,1.0,0.6906959960353908,0.0
9,1,0,1,9,0,0,13,4,7,1,0,0,0,0.5657081587484707,1.0,0.4333934776341723,0.0
10,0,0,1,13,0,22,13,5,7,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
11,0,0,1,11,0,12,27,9,9,0,1,0,1,1.0,1.0,0.7292305501170816,0.0
12,1,0,2,15,0,12,26,4,9,0,1,0,0,1.0,0.0,0.0,0.0
13,0,16,1,10,15,0,0,4,7,0,1,0,1,0.5657081587484707,1.0,0.6457112531348923,0.0
14,0,0,1,5,0,22,26,5,5,0,1,0,1,0.5657081587484707,1.0,0.6457112531348923,0.0
15,1,0,1,14,0,12,26,9,3,0,1,0,0,0.8626475888460029,0.75,0.0,0.0
16,0,8,1,9,0,12,27,5,8,0,1,0,0,0.5657081587484707,1.0,0.4333934776341723,0.0
17,0,7,2,11,0,12,0,5,4,0,1,0,0,0.8626475888460029,1.0,0.7629347951689582,0.0
18,0,0,1,7,0,2,13,3,5,0,1,0,0,0.5657081587484707,1.0,0.5916741449658186,0.5
19,0,0,1,15,0,12,13,7,7,0,1,0,0,0.16953387213106524,1.0,0.6906959960353908,0.0
20,0,0,3,1,0,0,0,9,8,0,1,0,1,0.30370574797375377,0.0,0.0,0.0
21,0,8,4,12,0,0,27,4,7,0,1,0,0,1.0,1.0,0.7629347951689582,0.0
22,0,0,4,11,0,12,13,1,1,0,1,0,0,1.0,1.0,0.7292305501170816,0.0
23,0,0,4,13,0,0,27,4,7,0,1,0,1,0.30370574797375377,1.0,0.6906959960353908,0.0
24,0,0,1,11,0,12,13,3,7,0,1,0,0,0.30370574797375377,1.0,0.7292305501170816,0.0
25,0,0,1,9,0,12,27,9,9,1,1,0,1,0.8277105695231877,1.0,0.5916741449658186,0.0
26,0,7,2,9,0,12,27,7,8,0,1,0,0,0.16953387213106524,1.0,0.6906959960353908,0.0
27,0,0,1,5,0,12,13,3,3,0,1,0,0,0.0,1.0,0.5916741449658186,0.0
28,0,0,1,8,0,12,0,9,9,0,1,0,0,0.16953387213106524,1.0,0.6457112531348923,0.0
29,0,7,2,11,0,2,2,1,10,0,1,1,0,0.16953387213106524,1.0,0.6906959960353908,0.0
30,0,14,1,3,13,3,4,4,2,0,1,1,0,0.16953387213106524,1.0,0.6457112531348923,0.0
31,0,15,1,4,0,26,2,15,21,0,1,1,0,0.5657081587484707,1.0,0.5916741449658186,0.0
32,0,0,1,8,0,0,0,4,6,0,0,1,0,0.5657081587484707,1.0,0.4333934776341723,0.0
33,0,8,1,2,0,12,0,9,5,0,1,0,0,0.262002410774717,1.0,0.6906959960353908,0.0
34,0,0,1,16,0,1,26,3,9,0,1,1,0,0.0,1.0,0.6457112531348923,0.0
35,1,11,1,0,0,22,26,9,6,1,0,1,0,0.5657081587484707,0.75,0.2958370724829093,0.0
36,1,11,1,6,7,18,26,0,0,0,1,1,0,0.8277105695231877,0.0,0.0,0.0
37,1,13,1,8,0,21,26,6,6,0,1,0,0,0.16953387213106524,1.0,0.4333934776341723,0.5
38,0,11,1,16,0,12,13,9,3,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
39,1,14,1,7,13,3,3,3,6,1,0,0,0,0.262002410774717,1.0,0.5239995654055677,0.0
40,1,0,5,14,0,2,2,2,2,1,1,0,0,1.0,0.75,0.0,0.0
41,0,0,2,8,0,2,13,2,7,0,1,0,0,0.5657081587484707,1.0,0.6457112531348923,0.0
42,0,0,6,11,0,0,2,2,2,0,1,0,0,0.30370574797375377,1.0,0.7292305501170816,0.0
43,1,7,1,14,0,0,27,5,5,0,0,0,0,0.262002410774717,1.0,0.6457112531348923,0.0
44,1,11,1,16,0,21,26,9,9,0,1,0,0,0.16953387213106524,0.0,0.0,0.0
45,0,7,1,16,0,22,27,4,5,0,1,0,0,0.8277105695231877,1.0,0.5239995654055677,0.3413030972429926
46,0,7,2,9,0,12,13,9,9,0,1,0,0,0.30370574797375377,1.0,0.6457112531348923,0.0
47,0,7,6,11,0,21,13,7,7,0,1,0,1,0.30370574797375377,1.0,0.7292305501170816,0.0
48,0,14,1,2,13,0,13,9,9,0,1,0,1,0.262002410774717,1.0,0.6906959960353908,0.0
49,0,0,1,9,0,21,27,9,9,0,1,0,1,1.0,1.0,0.6906959960353908,0.0
50,0,11,1,10,0,12,27,9,7,0,1,0,1,0.262002410774717,1.0,0.6906959960353908,0.0
51,0,0,1,11,0,21,27,6,6,0,1,0,1,0.0,1.0,0.6906959960353908,0.0
52,0,0,1,14,0,0,13,7,7,0,1,0,1,0.0,1.0,0.5239995654055677,0.0
53,0,0,3,7,0,21,26,11,11,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
54,1,11,1,16,0,22,27,9,9,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
55,0,0,1,11,0,0,13,5,5,0,1,0,0,0.8626475888460029,1.0,0.7629347951689582,0.0
56,1,3,1,10,2,0,2,4,3,0,1,0,0,0.262002410774717,0.0,0.0,0.0
57,1,11,1,7,14,2,2,2,2,0,1,0,0,0.262002410774717,1.0,0.819836637888477,0.0
58,0,7,1,11,0,22,27,7,10,0,1,0,0,0.0,1.0,0.7629347951689582,0.0
59,0,0,3,1,0,22,26,4,9,0,1,0,0,0.8277105695231877,0.0,0.0,0.0
60,0,0,2,11,0,12,13,9,9,0,1,0,0,0.16953387213106524,1.0,0.7292305501170816,0.0
61,0,14,1,9,13,12,0,9,9,0,1,0,1,0.0,1.0,0.6906959960353908,0.0
62,0,7,3,1,0,0,26,4,7,0,1,1,1,0.5657081587484707,0.0,0.0,0.0
63,0,7,1,4,0,0,0,3,4,0,1,1,0,0.5657081587484707,1.0,0.2958370724829093,0.0
64,0,13,1,4,0,0,0,3,3,0,1,1,0,1.0,0.0,0.0,0.0
65,1,12,1,11,11,0,0,5,5,0,1,1,0,0.0,1.0,0.6457112531348923,0.0
66,0,0,3,1,0,12,13,5,3,0,1,1,1,0.5657081587484707,0.0,0.0,0.0
67,0,14,1,3,13,12,26,9,9,0,1,1,0,0.5657081587484707,1.0,0.6906959960353908,0.0
68,1,0,3,8,0,0,27,7,7,1,1,1,0,0.16953387213106524,1.0,0.5916741449658186,0.6045309775610836
69,0,11,1,10,0,12,26,7,10,0,1,1,0,1.0,1.0,0.6457112531348923,0.0
70,0,7,1,8,0,22,26,5,5,0,1,1,0,0.8277105695231877,0.0,0.0,0.0
71,0,7,1,11,0,21,13,8,4,0,1,1,0,0.0,1.0,0.7629347951689582,0.0
72,1,0,1,1,0,12,13,5,10,0,1,1,0,0.8626475888460029,0.0,0.0,0.0
